fecha,prediccion_casos
2024-01-07,1183
2024-01-14,1187
2024-01-21,1212
2024-01-28,1242
2024-02-04,1269
2024-02-11,1296
2024-02-18,1323
2024-02-25,1350
2024-03-03,1377
2024-03-10,1404
2024-03-17,1430
2024-03-24,1456
